year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1936,1937,9,Best Actor,Male,William Powell,White,My Man Godfrey,FALSE
1936,1937,9,Best Actor,Male,Spencer Tracy,White,San Francisco,FALSE
1936,1937,9,Best Actor in supporting role,Male,Mischa Auer,White,My Man Godfrey,FALSE
1936,1937,9,Best Actor in supporting role,Male,Stuart Erwin,White,Pigskin Parade,FALSE
1936,1937,9,Best Actor in supporting role,Male,Basil Rathbone,White,Romeo and Juliet,FALSE
1936,1937,9,Best Actor in supporting role,Male,Akim Tamiroff,White,The General Died at Dawn,FALSE
1936,1937,9,Best Actress,Female,Irene Dunne,White,Theodora Goes Wild,FALSE
1936,1937,9,Best Actress,Female,Gladys George,White,Valiant Is the Word for Carrie,FALSE
1936,1937,9,Best Actress,Female,Carole Lombard,White,My Man Godfrey,FALSE
1936,1937,9,Best Actress,Female,Norma Shearer,White,Romeo and Juliet,FALSE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Beulah Bondi,White,The Gorgeous Hussy,FALSE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Alice Brady,White,My Man Godfrey,FALSE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Bonita Granville,White,These Three,FALSE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Maria Ouspenskaya,White,Dodsworth,FALSE
1937,1938,10,Best Actor,Male,Charles Boyer,White,Conquest,FALSE
1937,1938,10,Best Actor,Male,Fredric March,White,A Star Is Born,FALSE
1937,1938,10,Best Actor,Male,Robert Montgomery,White,Night Must Fall,FALSE
1937,1938,10,Best Actor,Male,Paul Muni,White,The Life of Emile Zola,FALSE
1937,1938,10,Best Actor in supporting role,Male,Ralph Bellamy,White,The Awful Truth,FALSE
1937,1938,10,Best Actor in supporting role,Male,Thomas Mitchell,White,The Hurricane,FALSE
1937,1938,10,Best Actor in supporting role,Male,H. B. Warner,White,Lost Horizon,FALSE
1937,1938,10,Best Actor in supporting role,Male,Roland Young,White,Topper,FALSE
1937,1938,10,Best Actress,Female,Irene Dunne,White,The Awful Truth,FALSE
1937,1938,10,Best Actress,Female,Greta Garbo,White,Camille,FALSE
1937,1938,10,Best Actress,Female,Janet Gaynor,White,A Star Is Born,FALSE
1937,1938,10,Best Actress,Female,Barbara Stanwyck,White,Stella Dallas,FALSE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Andrea Leeds,White,Stage Door,FALSE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Anne Shirley,White,Stella Dallas,FALSE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Claire Trevor,White,Dead End,FALSE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Dame May Whitty,White,Night Must Fall,FALSE
1938,1939,11,Best Actor,Male,Charles Boyer,White,Algiers,FALSE
1938,1939,11,Best Actor,Male,James Cagney,White,Angels with Dirty Faces,FALSE
1938,1939,11,Best Actor,Male,Robert Donat,White,The Citadel,FALSE
1938,1939,11,Best Actor,Male,Leslie Howard,White,Pygmalion,FALSE
1938,1939,11,Best Actor in supporting role,Male,John Garfield,White,Four Daughters,FALSE
1938,1939,11,Best Actor in supporting role,Male,Gene Lockhart,White,Algiers,FALSE
1938,1939,11,Best Actor in supporting role,Male,Robert Morley,White,Marie Antoinette,FALSE
1938,1939,11,Best Actor in supporting role,Male,Basil Rathbone,White,If I Were King,FALSE
1938,1939,11,Best Actress,Female,Fay Bainter,White,White Banners,FALSE
1938,1939,11,Best Actress,Female,Wendy Hiller,White,Pygmalion,FALSE
1938,1939,11,Best Actress,Female,Norma Shearer,White,Marie Antoinette,FALSE
1938,1939,11,Best Actress,Female,Margaret Sullavan,White,Three Comrades,FALSE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Beulah Bondi,White,Of Human Hearts,FALSE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Billie Burke,White,Merrily We Live,FALSE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Spring Byington,White,You Can't Take It with You,FALSE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Miliza Korjus,White,The Great Waltz,FALSE
1939,1940,12,Best Actor,Male,Clark Gable,White,Gone with the Wind,FALSE
1939,1940,12,Best Actor,Male,Laurence Olivier,White,Wuthering Heights,FALSE
1939,1940,12,Best Actor,Male,Mickey Rooney,White,Babes in Arms,FALSE
1939,1940,12,Best Actor,Male,James Stewart,White,Mr. Smith Goes to Washington,FALSE
1939,1940,12,Best Actor in supporting role,Male,Brian Aherne,White,Juarez,FALSE
1939,1940,12,Best Actor in supporting role,Male,Harry Carey,White,Mr. Smith Goes to Washington,FALSE
1939,1940,12,Best Actor in supporting role,Male,Brian Donlevy,White,Beau Geste,FALSE
1939,1940,12,Best Actor in supporting role,Male,Claude Rains,White,Mr. Smith Goes to Washington,FALSE
1939,1940,12,Best Actress,Female,Bette Davis,White,Dark Victory,FALSE
1939,1940,12,Best Actress,Female,Irene Dunne,White,Love Affair,FALSE
1939,1940,12,Best Actress,Female,Greta Garbo,White,Ninotchka,FALSE
1939,1940,12,Best Actress,Female,Greer Garson,White,"Goodbye, Mr. Chips",FALSE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Olivia de Havilland,White,Gone with the Wind,FALSE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Geraldine Fitzgerald,White,Wuthering Heights,FALSE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Edna May Oliver,White,Drums along the Mohawk,FALSE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Maria Ouspenskaya,White,Love Affair,FALSE
1940,1941,13,Best Actor,Male,Charles Chaplin,White,The Great Dictator,FALSE
1940,1941,13,Best Actor,Male,Henry Fonda,White,The Grapes of Wrath,FALSE
1940,1941,13,Best Actor,Male,Raymond Massey,White,Abe Lincoln in Illinois,FALSE
1940,1941,13,Best Actor,Male,Laurence Olivier,White,Rebecca,FALSE
1940,1941,13,Best Actor in supporting role,Male,Albert Basserman,White,Foreign Correspondent,FALSE
1940,1941,13,Best Actor in supporting role,Male,William Gargan,White,They Knew What They Wanted,FALSE
1940,1941,13,Best Actor in supporting role,Male,Jack Oakie,White,The Great Dictator,FALSE
1940,1941,13,Best Actor in supporting role,Male,James Stephenson,White,The Letter,FALSE
1940,1941,13,Best Actress,Female,Bette Davis,White,The Letter,FALSE
1940,1941,13,Best Actress,Female,Joan Fontaine,White,Rebecca,FALSE
1940,1941,13,Best Actress,Female,Katharine Hepburn,White,The Philadelphia Story,FALSE
1940,1941,13,Best Actress,Female,Martha Scott,White,Our Town,FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Judith Anderson,White,Rebecca,FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Ruth Hussey,White,The Philadelphia Story,FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Barbara O'Neil,White,"All This, and Heaven Too",FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Marjorie Rambeau,White,Primrose Path,FALSE
1941,1942,14,Best Actor,Male,Cary Grant,White,Penny Serenade,FALSE
1941,1942,14,Best Actor,Male,Walter Huston,White,All That Money Can Buy,FALSE
1941,1942,14,Best Actor,Male,Robert Montgomery,White,Here Comes Mr. Jordan,FALSE
1941,1942,14,Best Actor,Male,Orson Welles,White,Citizen Kane,FALSE
1941,1942,14,Best Actor in supporting role,Male,Walter Brennan,White,Sergeant York,FALSE
1941,1942,14,Best Actor in supporting role,Male,Charles Coburn,White,The Devil and Miss Jones,FALSE
1941,1942,14,Best Actor in supporting role,Male,James Gleason,White,Here Comes Mr. Jordan,FALSE
1941,1942,14,Best Actor in supporting role,Male,Sydney Greenstreet,White,The Maltese Falcon,FALSE
1941,1942,14,Best Actress,Female,Bette Davis,White,The Little Foxes,FALSE
1941,1942,14,Best Actress,Female,Olivia de Havilland,White,Hold Back the Dawn,FALSE
1941,1942,14,Best Actress,Female,Greer Garson,White,Blossoms in the Dust,FALSE
1941,1942,14,Best Actress,Female,Barbara Stanwyck,White,Ball of Fire,FALSE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Sara Allgood,White,How Green Was My Valley,FALSE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Patricia Collinge,White,The Little Foxes,FALSE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Teresa Wright,White,The Little Foxes,FALSE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Margaret Wycherly,White,Sergeant York,FALSE
1942,1943,15,Best Actor,Male,Ronald Colman,White,Random Harvest,FALSE
1942,1943,15,Best Actor,Male,Gary Cooper,White,The Pride of the Yankees,FALSE
1942,1943,15,Best Actor,Male,Walter Pidgeon,White,Mrs. Miniver,FALSE
1942,1943,15,Best Actor,Male,Monty Woolley,White,The Pied Piper,FALSE
1942,1943,15,Best Actor in supporting role,Male,William Bendix,White,Wake Island,FALSE
1942,1943,15,Best Actor in supporting role,Male,Walter Huston,White,Yankee Doodle Dandy,FALSE
1942,1943,15,Best Actor in supporting role,Male,Frank Morgan,White,Tortilla Flat,FALSE
1942,1943,15,Best Actor in supporting role,Male,Henry Travers,White,Mrs. Miniver,FALSE
1942,1943,15,Best Actress,Female,Bette Davis,White,"Now, Voyager",FALSE
1942,1943,15,Best Actress,Female,Katharine Hepburn,White,Woman of the Year,FALSE
1942,1943,15,Best Actress,Female,Rosalind Russell,White,My Sister Eileen,FALSE
1942,1943,15,Best Actress,Female,Teresa Wright,White,The Pride of the Yankees,FALSE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Gladys Cooper,White,"Now, Voyager",FALSE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Agnes Moorehead,White,The Magnificent Ambersons,FALSE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Susan Peters,White,Random Harvest,FALSE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Dame May Whitty,White,Mrs. Miniver,FALSE
1943,1944,16,Best Actor,Male,Humphrey Bogart,White,Casablanca,FALSE
1943,1944,16,Best Actor,Male,Gary Cooper,White,For Whom the Bell Tolls,FALSE
1943,1944,16,Best Actor,Male,Walter Pidgeon,White,Madame Curie,FALSE
1943,1944,16,Best Actor,Male,Mickey Rooney,White,The Human Comedy,FALSE
1943,1944,16,Best Actor in supporting role,Male,Charles Bickford,White,The Song of Bernadette,FALSE
1943,1944,16,Best Actor in supporting role,Male,J. Carrol Naish,White,Sahara,FALSE
1943,1944,16,Best Actor in supporting role,Male,Claude Rains,White,Casablanca,FALSE
1943,1944,16,Best Actor in supporting role,Male,Akim Tamiroff,White,For Whom the Bell Tolls,FALSE
1943,1944,16,Best Actress,Female,Jean Arthur,White,The More the Merrier,FALSE
1943,1944,16,Best Actress,Female,Ingrid Bergman,White,For Whom the Bell Tolls,FALSE
1943,1944,16,Best Actress,Female,Joan Fontaine,White,The Constant Nymph,FALSE
1943,1944,16,Best Actress,Female,Greer Garson,White,Madame Curie,FALSE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Gladys Cooper,White,The Song of Bernadette,FALSE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Paulette Goddard,White,So Proudly We Hail!,FALSE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Anne Revere,White,The Song of Bernadette,FALSE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Lucile Watson,White,Watch on the Rhine,FALSE
1944,1945,17,Best Actor,Male,Charles Boyer,White,Gaslight,FALSE
1944,1945,17,Best Actor,Male,Barry Fitzgerald,White,Going My Way,FALSE
1944,1945,17,Best Actor,Male,Cary Grant,White,None but the Lonely Heart,FALSE
1944,1945,17,Best Actor,Male,Alexander Knox,White,Wilson,FALSE
1944,1945,17,Best Actor in supporting role,Male,Hume Cronyn,White,The Seventh Cross,FALSE
1944,1945,17,Best Actor in supporting role,Male,Claude Rains,White,Mr. Skeffington,FALSE
1944,1945,17,Best Actor in supporting role,Male,Clifton Webb,White,Laura,FALSE
1944,1945,17,Best Actor in supporting role,Male,Monty Woolley,White,Since You Went Away,FALSE
1944,1945,17,Best Actress,Female,Claudette Colbert,White,Since You Went Away,FALSE
1944,1945,17,Best Actress,Female,Bette Davis,White,Mr. Skeffington,FALSE
1944,1945,17,Best Actress,Female,Greer Garson,White,Mrs. Parkington,FALSE
1944,1945,17,Best Actress,Female,Barbara Stanwyck,White,Double Indemnity,FALSE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Jennifer Jones,White,Since You Went Away,FALSE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Angela Lansbury,White,Gaslight,FALSE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Aline MacMahon,White,Dragon Seed,FALSE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Agnes Moorehead,White,Mrs. Parkington,FALSE
1945,1946,18,Best Actor,Male,Bing Crosby,White,The Bells of St. Mary's,FALSE
1945,1946,18,Best Actor,Male,Gene Kelly,White,Anchors Aweigh,FALSE
1945,1946,18,Best Actor,Male,Gregory Peck,White,The Keys of the Kingdom,FALSE
1945,1946,18,Best Actor,Male,Cornel Wilde,White,A Song to Remember,FALSE
1945,1946,18,Best Actor in supporting role,Male,Michael Chekhov,White,Spellbound,FALSE
