year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1993,1994,66,ACTRESS IN A SUPPORTING ROLE,Female,Emma Thompson,White,In the Name of the Father,FALSE
1994,1995,67,Best Actor,Male,Morgan Freeman,Black,The Shawshank Redemption,FALSE
1994,1995,67,Best Actor,Male,Nigel Hawthorne,White,The Madness of King George,FALSE
1994,1995,67,Best Actor,Male,Paul Newman,White,Nobody's Fool,FALSE
1994,1995,67,Best Actor,Male,John Travolta,White,Pulp Fiction,FALSE
1994,1995,67,Best Actor in supporting role,Male,Samuel L. Jackson,Black,Pulp Fiction,FALSE
1994,1995,67,Best Actor in supporting role,Male,Chazz Palminteri,White,Bullets over Broadway,FALSE
1994,1995,67,Best Actor in supporting role,Male,Paul Scofield,White,Quiz Show,FALSE
1994,1995,67,Best Actor in supporting role,Male,Gary Sinise,White,Forrest Gump,FALSE
1994,1995,67,Best Actress,Female,Jodie Foster,White,Nell,FALSE
1994,1995,67,Best Actress,Female,Miranda Richardson,White,Tom & Viv,FALSE
1994,1995,67,Best Actress,Female,Winona Ryder,White,Little Women,FALSE
1994,1995,67,Best Actress,Female,Susan Sarandon,White,The Client,FALSE
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Female,Rosemary Harris,White,Tom & Viv,FALSE
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Female,Helen Mirren,White,The Madness of King George,FALSE
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Female,Uma Thurman,White,Pulp Fiction,FALSE
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Female,Jennifer Tilly,White,Bullets over Broadway,FALSE
1995,1996,68,Best Actor,Male,Richard Dreyfuss,White,Mr. Holland's Opus,FALSE
1995,1996,68,Best Actor,Male,Anthony Hopkins,White,Nixon,FALSE
1995,1996,68,Best Actor,Male,Sean Penn,White,Dead Man Walking,FALSE
1995,1996,68,Best Actor,Male,Massimo Troisi,White,The Postman (Il Postino),FALSE
1995,1996,68,Best Actor in supporting role,Male,James Cromwell,White,Babe,FALSE
1995,1996,68,Best Actor in supporting role,Male,Ed Harris,White,Apollo 13,FALSE
1995,1996,68,Best Actor in supporting role,Male,Brad Pitt,White,12 Monkeys,FALSE
1995,1996,68,Best Actor in supporting role,Male,Tim Roth,White,Rob Roy,FALSE
1995,1996,68,Best Actress,Female,Elisabeth Shue,White,Leaving Las Vegas,FALSE
1995,1996,68,Best Actress,Female,Sharon Stone,White,Casino,FALSE
1995,1996,68,Best Actress,Female,Meryl Streep,White,The Bridges of Madison County,FALSE
1995,1996,68,Best Actress,Female,Emma Thompson,White,Sense and Sensibility,FALSE
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Female,Joan Allen,White,Nixon,FALSE
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Female,Kathleen Quinlan,White,Apollo 13,FALSE
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Female,Mare Winningham,White,Georgia,FALSE
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Female,Kate Winslet,White,Sense and Sensibility,FALSE
1996,1997,69,Best Actor,Male,Tom Cruise,White,Jerry Maguire,FALSE
1996,1997,69,Best Actor,Male,Ralph Fiennes,White,The English Patient,FALSE
1996,1997,69,Best Actor,Male,Woody Harrelson,White,The People vs. Larry Flynt,FALSE
1996,1997,69,Best Actor,Male,Billy Bob Thornton,White,Sling Blade,FALSE
1996,1997,69,Best Actor in supporting role,Male,William H. Macy,White,Fargo,FALSE
1996,1997,69,Best Actor in supporting role,Male,Armin Mueller-Stahl,White,Shine,FALSE
1996,1997,69,Best Actor in supporting role,Male,Edward Norton,White,Primal Fear,FALSE
1996,1997,69,Best Actor in supporting role,Male,James Woods,White,Ghosts of Mississippi,FALSE
1996,1997,69,Best Actress,Female,Brenda Blethyn,White,Secrets & Lies,FALSE
1996,1997,69,Best Actress,Female,Diane Keaton,White,Marvin's Room,FALSE
1996,1997,69,Best Actress,Female,Kristin Scott Thomas,White,The English Patient,FALSE
1996,1997,69,Best Actress,Female,Emily Watson,White,Breaking the Waves,FALSE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Female,Joan Allen,White,The Crucible,FALSE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Female,Lauren Bacall,White,The Mirror Has Two Faces,FALSE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Female,Barbara Hershey,White,The Portrait of a Lady,FALSE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Female,Marianne Jean-Baptiste,Black,Secrets & Lies,FALSE
1997,1998,70,Best Actor,Male,Matt Damon,White,Good Will Hunting,FALSE
1997,1998,70,Best Actor,Male,Robert Duvall,White,The Apostle,FALSE
1997,1998,70,Best Actor,Male,Peter Fonda,White,Ulee's Gold,FALSE
1997,1998,70,Best Actor,Male,Dustin Hoffman,White,Wag the Dog,FALSE
1997,1998,70,Best Actor in supporting role,Male,Robert Forster,White,Jackie Brown,FALSE
1997,1998,70,Best Actor in supporting role,Male,Anthony Hopkins,White,Amistad,FALSE
1997,1998,70,Best Actor in supporting role,Male,Greg Kinnear,White,As Good as It Gets,FALSE
1997,1998,70,Best Actor in supporting role,Male,Burt Reynolds,White,Boogie Nights,FALSE
1997,1998,70,Best Actress,Female,Helena Bonham Carter,White,The Wings of the Dove,FALSE
1997,1998,70,Best Actress,Female,Julie Christie,White,Afterglow,FALSE
1997,1998,70,Best Actress,Female,Judi Dench,White,Mrs. Brown,FALSE
1997,1998,70,Best Actress,Female,Kate Winslet,White,Titanic,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Female,Joan Cusack,White,In & Out,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Female,Minnie Driver,White,Good Will Hunting,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Female,Julianne Moore,White,Boogie Nights,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Female,Gloria Stuart,White,Titanic,FALSE
1998,1999,71,Best Actor,Male,Tom Hanks,White,Saving Private Ryan,FALSE
1998,1999,71,Best Actor,Male,Ian McKellen,White,Gods and Monsters,FALSE
1998,1999,71,Best Actor,Male,Nick Nolte,White,Affliction,FALSE
1998,1999,71,Best Actor,Male,Edward Norton,White,American History X,FALSE
1998,1999,71,Best Actor in supporting role,Male,Robert Duvall,White,A Civil Action,FALSE
1998,1999,71,Best Actor in supporting role,Male,Ed Harris,White,The Truman Show,FALSE
1998,1999,71,Best Actor in supporting role,Male,Geoffrey Rush,White,Shakespeare in Love,FALSE
1998,1999,71,Best Actor in supporting role,Male,Billy Bob Thornton,White,A Simple Plan,FALSE
1998,1999,71,Best Actress,Female,Cate Blanchett,White,Elizabeth,FALSE
1998,1999,71,Best Actress,Female,Fernanda Montenegro,White,Central Station,FALSE
1998,1999,71,Best Actress,Female,Meryl Streep,White,One True Thing,FALSE
1998,1999,71,Best Actress,Female,Emily Watson,White,Hilary and Jackie,FALSE
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Female,Kathy Bates,White,Primary Colors,FALSE
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Female,Brenda Blethyn,White,Little Voice,FALSE
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Female,Rachel Griffiths,White,Hilary and Jackie,FALSE
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Female,Lynn Redgrave,White,Gods and Monsters,FALSE
1999,2000,72,Best Actor,Male,Russell Crowe,White,The Insider,FALSE
1999,2000,72,Best Actor,Male,Richard Farnsworth,White,The Straight Story,FALSE
1999,2000,72,Best Actor,Male,Sean Penn,White,Sweet and Lowdown,FALSE
1999,2000,72,Best Actor,Male,Denzel Washington,Black,The Hurricane,FALSE
1999,2000,72,Best Actor in supporting role,Male,Tom Cruise,White,Magnolia,FALSE
1999,2000,72,Best Actor in supporting role,Male,Michael Clarke Duncan,Black,The Green Mile,FALSE
1999,2000,72,Best Actor in supporting role,Male,Jude Law,White,The Talented Mr. Ripley,FALSE
1999,2000,72,Best Actor in supporting role,Male,Haley Joel Osment,White,The Sixth Sense,FALSE
1999,2000,72,Best Actress,Female,Annette Bening,White,American Beauty,FALSE
1999,2000,72,Best Actress,Female,Janet McTeer,White,Tumbleweeds,FALSE
1999,2000,72,Best Actress,Female,Julianne Moore,White,The End of the Affair,FALSE
1999,2000,72,Best Actress,Female,Meryl Streep,White,Music of the Heart,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Female,Toni Collette,White,The Sixth Sense,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Female,Catherine Keener,White,Being John Malkovich,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Female,Samantha Morton,White,Sweet and Lowdown,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Female,Chloë Sevigny,White,Boys Don't Cry,FALSE
2000,2001,73,Best Actor,Male,Javier Bardem,White,Before Night Falls,FALSE
2000,2001,73,Best Actor,Male,Tom Hanks,White,Cast Away,FALSE
2000,2001,73,Best Actor,Male,Ed Harris,White,Pollock,FALSE
2000,2001,73,Best Actor,Male,Geoffrey Rush,White,Quills,FALSE
2000,2001,73,Best Actor in supporting role,Male,Jeff Bridges,White,The Contender,FALSE
2000,2001,73,Best Actor in supporting role,Male,Willem Dafoe,White,Shadow of the Vampire,FALSE
2000,2001,73,Best Actor in supporting role,Male,Albert Finney,White,Erin Brockovich,FALSE
2000,2001,73,Best Actor in supporting role,Male,Joaquin Phoenix,White,Gladiator,FALSE
2000,2001,73,Best Actress,Female,Joan Allen,White,The Contender,FALSE
2000,2001,73,Best Actress,Female,Juliette Binoche,White,Chocolat,FALSE
2000,2001,73,Best Actress,Female,Ellen Burstyn,White,Requiem for a Dream,FALSE
2000,2001,73,Best Actress,Female,Laura Linney,White,You Can Count on Me,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Female,Judi Dench,White,Chocolat,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Female,Kate Hudson,White,Almost Famous,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Female,Frances McDormand,White,Almost Famous,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Female,Julie Walters,White,Billy Elliot,FALSE
2001,2002,74,Best Actor,Male,Russell Crowe,White,A Beautiful Mind,FALSE
2001,2002,74,Best Actor,Male,Sean Penn,White,I Am Sam,FALSE
2001,2002,74,Best Actor,Male,Will Smith,Black,Ali,FALSE
2001,2002,74,Best Actor,Male,Tom Wilkinson,White,In the Bedroom,FALSE
2001,2002,74,Best Actor in supporting role,Male,Ethan Hawke,White,Training Day,FALSE
2001,2002,74,Best Actor in supporting role,Male,Ben Kingsley,Asian,Sexy Beast,FALSE
2001,2002,74,Best Actor in supporting role,Male,Ian McKellen,White,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,Best Actor in supporting role,Male,Jon Voight,White,Ali,FALSE
2001,2002,74,Best Actress,Female,Judi Dench,White,Iris,FALSE
2001,2002,74,Best Actress,Female,Nicole Kidman,White,Moulin Rouge,FALSE
2001,2002,74,Best Actress,Female,Sissy Spacek,White,In the Bedroom,FALSE
2001,2002,74,Best Actress,Female,Renée Zellweger,White,Bridget Jones's Diary,FALSE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Female,Helen Mirren,White,Gosford Park,FALSE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Female,Maggie Smith,White,Gosford Park,FALSE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Female,Marisa Tomei,White,In the Bedroom,FALSE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Female,Kate Winslet,White,Iris,FALSE
2002,2003,75,Best Actor,Male,Nicolas Cage,White,Adaptation,FALSE
2002,2003,75,Best Actor,Male,Michael Caine,White,The Quiet American,FALSE
2002,2003,75,Best Actor,Male,Daniel Day-Lewis,White,Gangs of New York,FALSE
2002,2003,75,Best Actor,Male,Jack Nicholson,White,About Schmidt,FALSE
2002,2003,75,Best Actor in supporting role,Male,Ed Harris,White,The Hours,FALSE
2002,2003,75,Best Actor in supporting role,Male,Paul Newman,White,Road to Perdition,FALSE
2002,2003,75,Best Actor in supporting role,Male,John C. Reilly,White,Chicago,FALSE
2002,2003,75,Best Actor in supporting role,Male,Christopher Walken,White,Catch Me If You Can,FALSE
2002,2003,75,Best Actress,Female,Salma Hayek,White,Frida,FALSE
2002,2003,75,Best Actress,Female,Diane Lane,White,Unfaithful,FALSE
2002,2003,75,Best Actress,Female,Julianne Moore,White,Far from Heaven,FALSE
2002,2003,75,Best Actress,Female,Renée Zellweger,White,Chicago,FALSE
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Female,Kathy Bates,White,About Schmidt,FALSE
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Female,Julianne Moore,White,The Hours,FALSE
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Female,Queen Latifah,Black,Chicago,FALSE
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Female,Meryl Streep,White,Adaptation,FALSE
2003,2004,76,Best Actor,Male,Johnny Depp,White,Pirates of the Caribbean: The Curse of the Black Pearl,FALSE
2003,2004,76,Best Actor,Male,Ben Kingsley,Asian,House of Sand and Fog,FALSE
2003,2004,76,Best Actor,Male,Jude Law,White,Cold Mountain,FALSE
2003,2004,76,Best Actor,Male,Bill Murray,White,Lost in Translation,FALSE
2003,2004,76,Best Actor in supporting role,Male,Alec Baldwin,White,The Cooler,FALSE
2003,2004,76,Best Actor in supporting role,Male,Benicio Del Toro,White,21 Grams,FALSE
2003,2004,76,Best Actor in supporting role,Male,Djimon Hounsou,Black,In America,FALSE
2003,2004,76,Best Actor in supporting role,Male,Ken Watanabe,Asian,The Last Samurai,FALSE
2003,2004,76,Best Actress,Female,Keisha Castle-Hughes,White,Whale Rider,FALSE
2003,2004,76,Best Actress,Female,Diane Keaton,White,Something's Gotta Give,FALSE
2003,2004,76,Best Actress,Female,Samantha Morton,White,In America,FALSE
2003,2004,76,Best Actress,Female,Naomi Watts,White,21 Grams,FALSE
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Female,Shohreh Aghdashloo,Asian,House of Sand and Fog,FALSE
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Female,Patricia Clarkson,White,Pieces of April,FALSE
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Female,Marcia Gay Harden,White,Mystic River,FALSE
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Female,Holly Hunter,White,Thirteen,FALSE
2004,2005,77,Best Actor,Male,Don Cheadle,Black,Hotel Rwanda,FALSE
2004,2005,77,Best Actor,Male,Johnny Depp,White,Finding Neverland,FALSE
2004,2005,77,Best Actor,Male,Leonardo DiCaprio,White,The Aviator,FALSE
2004,2005,77,Best Actor,Male,Clint Eastwood,White,Million Dollar Baby,FALSE
2004,2005,77,Best Actor in supporting role,Male,Alan Alda,White,The Aviator,FALSE
2004,2005,77,Best Actor in supporting role,Male,Thomas Haden Church,White,Sideways,FALSE
2004,2005,77,Best Actor in supporting role,Male,Jamie Foxx,Black,Collateral,FALSE
2004,2005,77,Best Actor in supporting role,Male,Clive Owen,White,Closer,FALSE
2004,2005,77,Best Actress,Female,Annette Bening,White,Being Julia,FALSE
2004,2005,77,Best Actress,Female,Catalina Sandino Moreno,White,Maria Full of Grace,FALSE
2004,2005,77,Best Actress,Female,Imelda Staunton,White,Vera Drake,FALSE
2004,2005,77,Best Actress,Female,Kate Winslet,White,Eternal Sunshine of the Spotless Mind,FALSE
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Female,Laura Linney,White,Kinsey,FALSE
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Female,Virginia Madsen,White,Sideways,FALSE
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Female,Sophie Okonedo,Black,Hotel Rwanda,FALSE
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Female,Natalie Portman,Asian,Closer,FALSE
2005,2006,78,Best Actor,Male,Terrence Howard,Black,Hustle & Flow,FALSE
2005,2006,78,Best Actor,Male,Heath Ledger,White,Brokeback Mountain,FALSE
2005,2006,78,Best Actor,Male,Joaquin Phoenix,White,Walk the Line,FALSE
2005,2006,78,Best Actor,Male,David Strathairn,White,"Good Night, and Good Luck.",FALSE
2005,2006,78,Best Actor in supporting role,Male,Matt Dillon,White,Crash,FALSE
2005,2006,78,Best Actor in supporting role,Male,Paul Giamatti,White,Cinderella Man,FALSE
2005,2006,78,Best Actor in supporting role,Male,Jake Gyllenhaal,White,Brokeback Mountain,FALSE
2005,2006,78,Best Actor in supporting role,Male,William Hurt,White,A History of Violence,FALSE
2005,2006,78,Best Actress,Female,Judi Dench,White,Mrs. Henderson Presents,FALSE
2005,2006,78,Best Actress,Female,Felicity Huffman,White,Transamerica,FALSE
2005,2006,78,Best Actress,Female,Keira Knightley,White,Pride & Prejudice,FALSE
2005,2006,78,Best Actress,Female,Charlize Theron,White,North Country,FALSE
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Female,Amy Adams,White,Junebug,FALSE
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Female,Catherine Keener,White,Capote,FALSE
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Female,Frances McDormand,White,North Country,FALSE
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Female,Michelle Williams,White,Brokeback Mountain,FALSE
2006,2007,79,Best Actor,Male,Leonardo DiCaprio,White,Blood Diamond,FALSE
2006,2007,79,Best Actor,Male,Ryan Gosling,White,Half Nelson,FALSE
2006,2007,79,Best Actor,Male,Peter O'Toole,White,Venus,FALSE
2006,2007,79,Best Actor,Male,Will Smith,Black,The Pursuit of Happyness,FALSE
2006,2007,79,Best Actor in supporting role,Male,Jackie Earle Haley,White,Little Children,FALSE
2006,2007,79,Best Actor in supporting role,Male,Djimon Hounsou,Black,Blood Diamond,FALSE
2006,2007,79,Best Actor in supporting role,Male,Eddie Murphy,Black,Dreamgirls,FALSE
2006,2007,79,Best Actor in supporting role,Male,Mark Wahlberg,White,The Departed,FALSE
2006,2007,79,Best Actress,Female,Penélope Cruz,White,Volver,FALSE
2006,2007,79,Best Actress,Female,Judi Dench,White,Notes on a Scandal,FALSE
2006,2007,79,Best Actress,Female,Meryl Streep,White,The Devil Wears Prada,FALSE
2006,2007,79,Best Actress,Female,Kate Winslet,White,Little Children,FALSE
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Female,Adriana Barraza,White,Babel,FALSE
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Female,Cate Blanchett,White,Notes on a Scandal,FALSE
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Female,Abigail Breslin,White,Little Miss Sunshine,FALSE
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Female,Rinko Kikuchi,Asian,Babel,FALSE
2007,2008,80,Best Actor,Male,George Clooney,White,Michael Clayton,FALSE
2007,2008,80,Best Actor,Male,Johnny Depp,White,Sweeney Todd The Demon Barber of Fleet Street,FALSE
2007,2008,80,Best Actor,Male,Tommy Lee Jones,White,In the Valley of Elah,FALSE
2007,2008,80,Best Actor,Male,Viggo Mortensen,White,Eastern Promises,FALSE
2007,2008,80,Best Actor in supporting role,Male,Casey Affleck,White,The Assassination of Jesse James by the Coward Robert Ford,FALSE
2007,2008,80,Best Actor in supporting role,Male,Philip Seymour Hoffman,White,Charlie Wilson's War,FALSE
2007,2008,80,Best Actor in supporting role,Male,Hal Holbrook,White,Into the Wild,FALSE
2007,2008,80,Best Actor in supporting role,Male,Tom Wilkinson,White,Michael Clayton,FALSE
2007,2008,80,Best Actress,Female,Cate Blanchett,White,Elizabeth: The Golden Age,FALSE
2007,2008,80,Best Actress,Female,Julie Christie,White,Away from Her,FALSE
2007,2008,80,Best Actress,Female,Laura Linney,White,The Savages,FALSE
2007,2008,80,Best Actress,Female,Ellen Page,White,Juno,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Cate Blanchett,White,I'm Not There,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Ruby Dee,Black,American Gangster,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Saoirse Ronan,White,Atonement,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Amy Ryan,White,Gone Baby Gone,FALSE
2008,2009,81,Best Actor,Male,Richard Jenkins,White,The Visitor,FALSE
2008,2009,81,Best Actor,Male,Frank Langella,White,Frost/Nixon,FALSE
2008,2009,81,Best Actor,Male,Brad Pitt,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,Best Actor,Male,Mickey Rourke,White,The Wrestler,FALSE
2008,2009,81,Best Actor in supporting role,Male,Josh Brolin,White,Milk,FALSE
2008,2009,81,Best Actor in supporting role,Male,Robert Downey Jr.,White,Tropic Thunder,FALSE
2008,2009,81,Best Actor in supporting role,Male,Philip Seymour Hoffman,White,Doubt,FALSE
2008,2009,81,Best Actor in supporting role,Male,Michael Shannon,White,Revolutionary Road,FALSE
2008,2009,81,Best Actress,Female,Anne Hathaway,White,Rachel Getting Married,FALSE
2008,2009,81,Best Actress,Female,Angelina Jolie,White,Changeling,FALSE
2008,2009,81,Best Actress,Female,Melissa Leo,White,Frozen River,FALSE
2008,2009,81,Best Actress,Female,Meryl Streep,White,Doubt,FALSE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Amy Adams,White,Doubt,FALSE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Viola Davis,Black,Doubt,FALSE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Taraji P. Henson,Black,The Curious Case of Benjamin Button,FALSE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Marisa Tomei,White,The Wrestler,FALSE
2009,2010,82,Best Actor,Male,George Clooney,White,Up in the Air,FALSE
2009,2010,82,Best Actor,Male,Colin Firth,White,A Single Man,FALSE
2009,2010,82,Best Actor,Male,Morgan Freeman,Black,Invictus,FALSE
2009,2010,82,Best Actor,Male,Jeremy Renner,White,The Hurt Locker,FALSE
2009,2010,82,Best Actor in supporting role,Male,Matt Damon,White,Invictus,FALSE
2009,2010,82,Best Actor in supporting role,Male,Woody Harrelson,White,The Messenger,FALSE
2009,2010,82,Best Actor in supporting role,Male,Christopher Plummer,White,The Last Station,FALSE
2009,2010,82,Best Actor in supporting role,Male,Stanley Tucci,White,The Lovely Bones,FALSE
2009,2010,82,Best Actress,Female,Helen Mirren,White,The Last Station,FALSE
2009,2010,82,Best Actress,Female,Carey Mulligan,White,An Education,FALSE
2009,2010,82,Best Actress,Female,Gabourey Sidibe,Black,Precious: Based on the Novel 'Push' by Sapphire,FALSE
2009,2010,82,Best Actress,Female,Meryl Streep,White,Julie & Julia,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Penélope Cruz,White,Nine,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Vera Farmiga,White,Up in the Air,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Maggie Gyllenhaal,White,Crazy Heart,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Anna Kendrick,White,Up in the Air,FALSE
2010,2011,83,Best Actor,Male,Javier Bardem,White,Biutiful,FALSE
2010,2011,83,Best Actor,Male,Jeff Bridges,White,True Grit,FALSE
2010,2011,83,Best Actor,Male,Jesse Eisenberg,White,The Social Network,FALSE
2010,2011,83,Best Actor,Male,James Franco,White,127 Hours,FALSE
2010,2011,83,Best Actor in supporting role,Male,John Hawkes,White,Winter's Bone,FALSE
2010,2011,83,Best Actor in supporting role,Male,Jeremy Renner,White,The Town,FALSE
2010,2011,83,Best Actor in supporting role,Male,Mark Ruffalo,White,The Kids Are All Right,FALSE
2010,2011,83,Best Actor in supporting role,Male,Geoffrey Rush,White,The King's Speech,FALSE
2010,2011,83,Best Actress,Female,Annette Bening,White,The Kids Are All Right,FALSE
2010,2011,83,Best Actress,Female,Nicole Kidman,White,Rabbit Hole,FALSE
2010,2011,83,Best Actress,Female,Jennifer Lawrence,White,Winter's Bone,FALSE
2010,2011,83,Best Actress,Female,Michelle Williams,White,Blue Valentine,FALSE
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Female,Amy Adams,White,The Fighter,FALSE
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Female,Helena Bonham Carter,White,The King's Speech,FALSE
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Female,Hailee Steinfeld,White,True Grit,FALSE
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Female,Jacki Weaver,White,Animal Kingdom,FALSE
2011,2012,84,Best Actor,Male,Demián Bichir,White,A Better Life,FALSE
2011,2012,84,Best Actor,Male,George Clooney,White,The Descendants,FALSE
2011,2012,84,Best Actor,Male,Gary Oldman,White,Tinker Tailor Soldier Spy,FALSE
2011,2012,84,Best Actor,Male,Brad Pitt,White,Moneyball,FALSE
2011,2012,84,Best Actor in supporting role,Male,Kenneth Branagh,White,My Week with Marilyn,FALSE
2011,2012,84,Best Actor in supporting role,Male,Jonah Hill,White,Moneyball,FALSE
2011,2012,84,Best Actor in supporting role,Male,Nick Nolte,White,Warrior,FALSE
2011,2012,84,Best Actor in supporting role,Male,Max von Sydow,White,Extremely Loud & Incredibly Close,FALSE
2011,2012,84,Best Actress,Female,Glenn Close,White,Albert Nobbs,FALSE
2011,2012,84,Best Actress,Female,Viola Davis,Black,The Help,FALSE
2011,2012,84,Best Actress,Female,Rooney Mara,White,The Girl with the Dragon Tattoo,FALSE
2011,2012,84,Best Actress,Female,Michelle Williams,White,My Week with Marilyn,FALSE
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Female,Bérénice Bejo,White,The Artist,FALSE
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Female,Jessica Chastain,White,The Help,FALSE
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Female,Melissa McCarthy,White,Bridesmaids,FALSE
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Female,Janet McTeer,White,Albert Nobbs,FALSE
2012,2013,85,Best Actor,Male,Bradley Cooper,White,Silver Linings Playbook,FALSE
2012,2013,85,Best Actor,Male,Hugh Jackman,White,Les Misérables,FALSE
2012,2013,85,Best Actor,Male,Joaquin Phoenix,White,The Master,FALSE
2012,2013,85,Best Actor,Male,Denzel Washington,Black,Flight,FALSE
2012,2013,85,Best Actor in supporting role,Male,Alan Arkin,White,Argo,FALSE
2012,2013,85,Best Actor in supporting role,Male,Robert De Niro,White,Silver Linings Playbook,FALSE
2012,2013,85,Best Actor in supporting role,Male,Philip Seymour Hoffman,White,The Master,FALSE
2012,2013,85,Best Actor in supporting role,Male,Tommy Lee Jones,White,Lincoln,FALSE
2012,2013,85,Best Actress,Female,Jessica Chastain,White,Zero Dark Thirty,FALSE
2012,2013,85,Best Actress,Female,Emmanuelle Riva,White,Amour,FALSE
2012,2013,85,Best Actress,Female,Quvenzhane Wallis,Black,Beasts of the Southern Wild,FALSE
2012,2013,85,Best Actress,Female,Naomi Watts,White,The Impossible,FALSE
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Female,Amy Adams,White,The Master,FALSE
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Female,Sally Field,White,Lincoln,FALSE
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Female,Helen Hunt,White,The Sessions,FALSE
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Female,Jacki Weaver,White,Silver Linings Playbook,FALSE
2013,2014,86,Best Actor,Male,Christian Bale,White,American Hustle,FALSE
